Name,Handle,Timestamp,Verified,Content,Comments,Retweets,Likes,Analytics,Tags,Mentions,Emojis,Profile Image,Tweet Link,Tweet ID
EuroPost Agency,@EuroPostAgency,2024-10-13T18:30:00.000Z,True,indonesia s prabowo mull corpor tax cut  accord to reports  europost,0,0,0,0,['#Europost'],[],[],https://pbs.twimg.com/profile_images/1722992596006404096/cLnf_env_normal.jpg,https://x.com/EuroPostAgency/status/1845532455941599735,tweet_id:1845532455941599735
𝗕𝗮𝗵𝗹𝘂𝗹 𝗠𝘂𝗹𝘆𝗼𝗻𝗼,@LelePecel150424,2024-10-13T18:29:56.000Z,False,bagu aja si  produk jurnalistik utk penting msyrkt yg butuh informasi ttg seluk beluk bijak kuasa  publik butuh media massa yg independen  bkn corong kuasa  kasihan rakyat ,0,0,0,0,[],[],[],https://pbs.twimg.com/profile_images/1829023149419311104/ZjZ1Sy9u_normal.jpg,https://x.com/LelePecel150424/status/1845532440024265121,tweet_id:1845532440024265121
Dika,@Dika49710609,2024-10-13T18:29:30.000Z,False,nyata ni si bahlul masuk kabinet nya prabowo  bukti kalo prabowo nurut si mulyono,0,0,0,0,[],[],[],https://pbs.twimg.com/profile_images/1547438493193818113/CWzEdrmC_normal.jpg,https://x.com/Dika49710609/status/1845532330066370815,tweet_id:1845532330066370815
Auni Shafiyah,@auni_shafiyahh,2024-10-13T18:29:13.000Z,False,prabowo hadir drone jaga papua maksim ,0,0,0,0,[],[],[],https://pbs.twimg.com/profile_images/1699278068697993216/Cx-9ugNb_normal.jpg,https://x.com/auni_shafiyahh/status/1845532258964582718,tweet_id:1845532258964582718
Wonge dewek,@Rakyatpantura,2024-10-13T18:29:06.000Z,False,ngomongin  paloh  mega  cak imin  sbi ,0,0,0,2,[],[],[],https://pbs.twimg.com/profile_images/1374907706239119361/kCiQG8_k_normal.jpg,https://x.com/Rakyatpantura/status/1845532230028030098,tweet_id:1845532230028030098
Jaya Kuswoyo,@jaya_kuswoyo2,2024-10-13T18:28:55.000Z,False,terima kasih prabowo-gibran program inspiratif penuh manfaat  makanbergiziuntukbangsa,0,0,0,0,['#MakanBergiziUntukBangsa'],[],[],https://pbs.twimg.com/profile_images/1701119913023455232/8p2D7ty8_normal.jpg,https://x.com/jaya_kuswoyo2/status/1845532181411893392,tweet_id:1845532181411893392
Suripto Bambang,@suripto_bamban,2024-10-13T18:28:52.000Z,False,langkah prabowo-gibran  makan gizi grati anak bangsa   makanbergiziuntukbangsa,0,0,0,0,['#MakanBergiziUntukBangsa'],[],[],https://pbs.twimg.com/profile_images/1703692805305249792/YM0RHZe7_normal.jpg,https://x.com/suripto_bamban/status/1845532171278442843,tweet_id:1845532171278442843
¥ a u m e n e e r,@mamagemoybiasa,2024-10-13T18:28:07.000Z,False,terimakasih jokowi  selamad emban tuga prabowo subianto bawa indonesia lebihbaik  rakyad nya makmur sejahtera pict by ,0,0,0,2,[],['@kompascom'],[],https://pbs.twimg.com/profile_images/1493085209259962370/IfTMNACv_normal.jpg,https://x.com/mamagemoybiasa/status/1845531982215983582,tweet_id:1845531982215983582
redcamel,@322redcamel,2024-10-13T18:26:47.000Z,False,yg bela jajah tanda nya sakit jiwa bg,0,0,0,2,[],[],[],https://pbs.twimg.com/profile_images/1727769753400578048/G3ussmbg_normal.jpg,https://x.com/322redcamel/status/1845531645434339452,tweet_id:1845531645434339452
Fatih Fahmi,@fatih_fahmi72,2024-10-13T18:26:06.000Z,False,semangat ubah  prabowo bawa arah indonesia ,0,0,0,0,[],[],[],https://pbs.twimg.com/profile_images/1687007809500778496/XJDI6m8k_normal.jpg,https://x.com/fatih_fahmi72/status/1845531473161707791,tweet_id:1845531473161707791
donibar,@donibar,2024-10-13T18:25:55.000Z,False,presiden wakil presiden  turut prabowo urus pribadi hening kuasa presiden ,0,0,0,2,[],[],[],https://pbs.twimg.com/profile_images/1754159480277999616/KZbe2DQ4_normal.jpg,https://x.com/donibar/status/1845531427934519805,tweet_id:1845531427934519805
Komah Nimana,@komah_nimana,2024-10-13T18:25:37.000Z,False,terima kasih prabowo-gibran program bantu wujud generasi sehat  makanbergiziuntukbangsa,0,0,0,3,['#MakanBergiziUntukBangsa'],[],[],https://pbs.twimg.com/profile_images/1681875252945768448/JyU896x1_normal.jpg,https://x.com/komah_nimana/status/1845531354815172683,tweet_id:1845531354815172683
The Den,@TheDent10558027,2024-10-13T18:24:28.000Z,True,dengar tuh fufufafa caci maki,0,0,0,2,[],['@prabowo'],[],https://pbs.twimg.com/profile_images/1835632016534147072/gbsg04Pv_normal.jpg,https://x.com/TheDent10558027/status/1845531062165971309,tweet_id:1845531062165971309
Kintan,@jayusman92,2024-10-13T18:24:27.000Z,False,prabowo pelihara buzzer ,0,0,0,1,[],[],[],https://pbs.twimg.com/profile_images/1838629417444347904/VPHwuAnT_normal.jpg,https://x.com/jayusman92/status/1845531058701525332,tweet_id:1845531058701525332
Ridho,@gozrid1,2024-10-13T18:24:13.000Z,False,knp pilih 2019 knp prabowo knp prabowo yg pilih yg udah jabat 5 taun jelek knp kalin pilih 2 priod salah org purwakarta 89  pilih prabowo thn 2019,0,0,0,0,[],[],[],https://pbs.twimg.com/profile_images/1757255546171015168/zybRcWft_normal.jpg,https://x.com/gozrid1/status/1845531000958525597,tweet_id:1845531000958525597
¥ a u m e n e e r,@mamagemoybiasa,2024-10-13T18:23:41.000Z,False,presiden 8 ri prabowo subianto  berikud silsilah keluarga prabowo,0,0,0,4,[],[],[],https://pbs.twimg.com/profile_images/1493085209259962370/IfTMNACv_normal.jpg,https://x.com/mamagemoybiasa/status/1845530867923669411,tweet_id:1845530867923669411
Aku Punya,@AkuPuny61743405,2024-10-13T18:21:53.000Z,False,utaman selamat,0,0,0,6,[],[],[],https://pbs.twimg.com/profile_images/1825924596379668480/5waH0MB4_normal.jpg,https://x.com/AkuPuny61743405/status/1845530412409643184,tweet_id:1845530412409643184
Im yAn,@xyxyan14,2024-10-13T18:21:40.000Z,False,ngakak bener liat tulis si fufufafa  imajinasi kocak  parah bener prabowo hina gitu ,0,0,0,7,[],[],['\\U0001f602'],https://pbs.twimg.com/profile_images/1826328620966838276/3f-8TTH1_normal.jpg,https://x.com/xyxyan14/status/1845530358026252721,tweet_id:1845530358026252721
Laedy,@Laedy_ning,2024-10-13T18:21:20.000Z,False,titip yaa fufufafaaaaa,0,0,0,7,[],[],['\\U0001f923'],https://pbs.twimg.com/profile_images/1826224739410452480/c02Th6LZ_normal.jpg,https://x.com/Laedy_ning/status/1845530274039521529,tweet_id:1845530274039521529
Brojo Musthi,@BMusthi42938,2024-10-13T18:20:57.000Z,False,tlong pk tindak lanjut ,0,0,0,0,[],['@prabowo'],[],https://pbs.twimg.com/profile_images/1814565202081558529/qf4gnUST_normal.png,https://x.com/BMusthi42938/status/1845530177658601765,tweet_id:1845530177658601765
Gabino Arthur,@gabino_arthur12,2024-10-13T18:20:36.000Z,False,makan siang gizi grati  inisiatif prabowo-gibran sasar   makanbergiziuntukbangsa,0,0,0,5,['#MakanBergiziUntukBangsa'],[],[],https://pbs.twimg.com/profile_images/1684504215534837760/psnHTI14_normal.jpg,https://x.com/gabino_arthur12/status/1845530090958098774,tweet_id:1845530090958098774
Zahra Putri,@zzahra_putri44,2024-10-13T18:20:12.000Z,False,prabowo-gibran prioritas sehat anak ,0,0,0,6,[],[],[],https://pbs.twimg.com/profile_images/1702593873724502016/f5UZIHcY_normal.jpg,https://x.com/zzahra_putri44/status/1845529989149847963,tweet_id:1845529989149847963
MasBRO,@MasBRO_back,2024-10-13T18:19:44.000Z,False,jajah bela ,1,1,1,1,[],[],[],https://pbs.twimg.com/profile_images/1729453315350806528/A78-FOTL_normal.jpg,https://x.com/MasBRO_back/status/1845529872715964560,tweet_id:1845529872715964560
