Name,Handle,Timestamp,Verified,Content,Comments,Retweets,Likes,Analytics,Tags,Mentions,Emojis,Profile Image,Tweet Link,Tweet ID
EuroPost Agency,@EuroPostAgency,2024-10-13T18:30:00.000Z,True,"Indonesia's Prabowo Mulls Corporate Tax Cut, According to Reports.#Europost",0,0,0,0,['#Europost'],[],[],https://pbs.twimg.com/profile_images/1722992596006404096/cLnf_env_normal.jpg,https://x.com/EuroPostAgency/status/1845532455941599735,tweet_id:1845532455941599735
𝗕𝗮𝗵𝗹𝘂𝗹 𝗠𝘂𝗹𝘆𝗼𝗻𝗼,@LelePecel150424,2024-10-13T18:29:56.000Z,False,"Bagus aja si.
Sepanjang produk jurnalistiknya utk kepentingan msyrkt yg butuh informasi ttg seluk beluk kebijakan penguasa.
Publik butuh media massa yg independen, bkn corong penguasa. Kasihan rakyat.",0,0,0,0,[],[],[],https://pbs.twimg.com/profile_images/1829023149419311104/ZjZ1Sy9u_normal.jpg,https://x.com/LelePecel150424/status/1845532440024265121,tweet_id:1845532440024265121
Dika,@Dika49710609,2024-10-13T18:29:30.000Z,False,Kenyataannya ni si bahlul masuk kabinet nya prabowo kok.. Bukti kalo prabowo nurut sama si mulyono,0,0,0,0,[],[],[],https://pbs.twimg.com/profile_images/1547438493193818113/CWzEdrmC_normal.jpg,https://x.com/Dika49710609/status/1845532330066370815,tweet_id:1845532330066370815
Auni Shafiyah,@auni_shafiyahh,2024-10-13T18:29:13.000Z,False,Prabowo hadirkan drone untuk menjaga Papua dengan baik dan maksimal!,0,0,0,0,[],[],[],https://pbs.twimg.com/profile_images/1699278068697993216/Cx-9ugNb_normal.jpg,https://x.com/auni_shafiyahh/status/1845532258964582718,tweet_id:1845532258964582718
Wonge dewek,@Rakyatpantura,2024-10-13T18:29:06.000Z,False,Ngomongin . Paloh . Mega . Cak Imin . Sby .,0,0,0,2,[],[],[],https://pbs.twimg.com/profile_images/1374907706239119361/kCiQG8_k_normal.jpg,https://x.com/Rakyatpantura/status/1845532230028030098,tweet_id:1845532230028030098
Jaya Kuswoyo,@jaya_kuswoyo2,2024-10-13T18:28:55.000Z,False,Terima kasih Prabowo-Gibran Program ini sangat inspiratif dan penuh manfaat #MakanBergiziUntukBangsa,0,0,0,0,['#MakanBergiziUntukBangsa'],[],[],https://pbs.twimg.com/profile_images/1701119913023455232/8p2D7ty8_normal.jpg,https://x.com/jaya_kuswoyo2/status/1845532181411893392,tweet_id:1845532181411893392
Suripto Bambang,@suripto_bamban,2024-10-13T18:28:52.000Z,False,"Langkah tepat Prabowo-Gibran, makan bergizi gratis untuk anak bangsa. #MakanBergiziUntukBangsa",0,0,0,0,['#MakanBergiziUntukBangsa'],[],[],https://pbs.twimg.com/profile_images/1703692805305249792/YM0RHZe7_normal.jpg,https://x.com/suripto_bamban/status/1845532171278442843,tweet_id:1845532171278442843
¥ a u m e n e e r,@mamagemoybiasa,2024-10-13T18:28:07.000Z,False,"terimakasih Bapak Jokowi, selamad mengemban tugas Bapak Prabowo Subianto bawa Indonesia jadi lebihbaik lagi, rakyad nya makmur sejahtera

pict by. ",0,0,0,2,[],['@kompascom'],[],https://pbs.twimg.com/profile_images/1493085209259962370/IfTMNACv_normal.jpg,https://x.com/mamagemoybiasa/status/1845531982215983582,tweet_id:1845531982215983582
redcamel,@322redcamel,2024-10-13T18:26:47.000Z,False,Yg bela penjajah tanda nya sakit jiwa itu bg,0,0,0,2,[],[],[],https://pbs.twimg.com/profile_images/1727769753400578048/G3ussmbg_normal.jpg,https://x.com/322redcamel/status/1845531645434339452,tweet_id:1845531645434339452
EuroPost Agency,@EuroPostAgency,2024-10-13T18:30:00.000Z,True,"Indonesia's Prabowo Mulls Corporate Tax Cut, According to Reports.#Europost",0,0,0,0,['#Europost'],[],[],https://pbs.twimg.com/profile_images/1722992596006404096/cLnf_env_normal.jpg,https://x.com/EuroPostAgency/status/1845532455941599735,tweet_id:1845532455941599735
𝗕𝗮𝗵𝗹𝘂𝗹 𝗠𝘂𝗹𝘆𝗼𝗻𝗼,@LelePecel150424,2024-10-13T18:29:56.000Z,False,"Bagus aja si.
Sepanjang produk jurnalistiknya utk kepentingan msyrkt yg butuh informasi ttg seluk beluk kebijakan penguasa.
Publik butuh media massa yg independen, bkn corong penguasa. Kasihan rakyat.",0,0,0,0,[],[],[],https://pbs.twimg.com/profile_images/1829023149419311104/ZjZ1Sy9u_normal.jpg,https://x.com/LelePecel150424/status/1845532440024265121,tweet_id:1845532440024265121
Dika,@Dika49710609,2024-10-13T18:29:30.000Z,False,Kenyataannya ni si bahlul masuk kabinet nya prabowo kok.. Bukti kalo prabowo nurut sama si mulyono,0,0,0,0,[],[],[],https://pbs.twimg.com/profile_images/1547438493193818113/CWzEdrmC_normal.jpg,https://x.com/Dika49710609/status/1845532330066370815,tweet_id:1845532330066370815
Fatih Fahmi,@fatih_fahmi72,2024-10-13T18:26:06.000Z,False,Semangat untuk perubahan! Yakin Prabowo bisa bawa arah baru untuk Indonesia!,0,0,0,0,[],[],[],https://pbs.twimg.com/profile_images/1687007809500778496/XJDI6m8k_normal.jpg,https://x.com/fatih_fahmi72/status/1845531473161707791,tweet_id:1845531473161707791
donibar,@donibar,2024-10-13T18:25:55.000Z,False,"Ketika ada masalah antara presiden dengan wakil presiden, menurutku Prabowo akan mengurusnya secara pribadi dalam keheningan kuasa seorang presiden.",0,0,0,2,[],[],[],https://pbs.twimg.com/profile_images/1754159480277999616/KZbe2DQ4_normal.jpg,https://x.com/donibar/status/1845531427934519805,tweet_id:1845531427934519805
Komah Nimana,@komah_nimana,2024-10-13T18:25:37.000Z,False,Terima kasih Prabowo-Gibran Program ini bantu wujudkan generasi yang sehat #MakanBergiziUntukBangsa,0,0,0,3,['#MakanBergiziUntukBangsa'],[],[],https://pbs.twimg.com/profile_images/1681875252945768448/JyU896x1_normal.jpg,https://x.com/komah_nimana/status/1845531354815172683,tweet_id:1845531354815172683
The Den,@TheDent10558027,2024-10-13T18:24:28.000Z,True,Dengar tuh fufufafa yang mencaci maki ,0,0,0,2,[],['@prabowo'],[],https://pbs.twimg.com/profile_images/1835632016534147072/gbsg04Pv_normal.jpg,https://x.com/TheDent10558027/status/1845531062165971309,tweet_id:1845531062165971309
Kintan,@jayusman92,2024-10-13T18:24:27.000Z,False,Apakah Prabowo juga akan memelihara buzzer?,0,0,0,1,[],[],[],https://pbs.twimg.com/profile_images/1838629417444347904/VPHwuAnT_normal.jpg,https://x.com/jayusman92/status/1845531058701525332,tweet_id:1845531058701525332
Ridho,@gozrid1,2024-10-13T18:24:13.000Z,False,Knp kalian pilih di 2019 knp bukan prabowo dan knp baru sekarang prabowo yg di pilih ini semua kalian kan yg mau udah jelas sejak dulu menjabat 5 taun juga jelek knp kalin pilih lagi sampai 2 priode itu salah kalian sendiri saya org purwakarta 89% memilih prabowo di thn  2019,0,0,0,0,[],[],[],https://pbs.twimg.com/profile_images/1757255546171015168/zybRcWft_normal.jpg,https://x.com/gozrid1/status/1845531000958525597,tweet_id:1845531000958525597
¥ a u m e n e e r,@mamagemoybiasa,2024-10-13T18:23:41.000Z,False,"Presiden ke 8 RI Prabowo Subianto, berikud silsilah keluarga Prabowo",0,0,0,4,[],[],[],https://pbs.twimg.com/profile_images/1493085209259962370/IfTMNACv_normal.jpg,https://x.com/mamagemoybiasa/status/1845530867923669411,tweet_id:1845530867923669411
